PLANT,PLANT NAME,Company,StateOffice,RegionalOffice,TANKAGE,STOCK,TOTAL_STOCK,DAYS_COVER,DAY_BOTTLING,CUMM_BOTTLING,Bottling-Rated capacity(TMTPA)
1592,OMC-BPC-LPG Hosp Locn-Roorkee,HPC,UPSO - II,NorthRegion,0,0,0,0,0,0,810
1599,OMC(GAIL) LPG Hosp.Locn- PATA,HPC,UPSO - II,NorthRegion,0,0,0,0,0,0,810
2181,IOC CELL  PETRONAS,HPC,West Bengal SO,EastRegion,0,0,0,0,0,19,682
2374,LPG BP -Barauni,HPC,Bihar SO,EastRegion,0,0,0,0,499,3597,540
2472,LPG BP -BRPL   LG,HPC,North East Integrated State Of,EastRegion,0,0,0,0,0,0,540
2474,LPG BP-DULIAJAN DU (Logical ),HPC,North East Integrated State Of,EastRegion,0,0,0,0,0,0,540
3285,OMC (BPC)LPG Hosp.Loc-BUTIBURI,HPC,North East Integrated State Of,EastRegion,0,0,0,0,0,0,540
3377,OMC-BPC-LPG Hosp Locn-Bhitoni,HPC,North East Integrated State Of,EastRegion,0,0,0,0,65,301,540
3382,OMC(HPC)LPG Hos.Loc-Mandjr Hsd,HPC,North East Integrated State Of,EastRegion,0,0,0,0,0,0,540
3394,CCPL  Jabalpur,HPC,North East Integrated State Of,EastRegion,0,0,0,0,0,0,540
4121,CRC - CPCL INSTALLATION,HPC,Tamil Nadu SO,WestRegion,0,0,0,0,0,0,960
4276,OMC (HPC)LPG Hosp.Locn-Palghat,HPC,Kerala SO,WestRegion,0,0,0,0,0,0,420
4375,OMC-HPC-LPG Hosp Locn-Mangalor,HPC,Karnataka SO,WestRegion,0,0,0,0,20,80,480
4376,Mysore LPG Cood Pt (HPCL),HPC,Karnataka SO,WestRegion,0,0,0,0,0,0,480
4377,OMC-BPC-LPG Hosp Locn-Mangalor,HPC,Karnataka SO,WestRegion,0,0,0,0,0,104,480
4483,OMC(HPC)LPG Hos.Loc-Rajamundry,HPC,Telangana & Andhra Pradesh SO,WestRegion,0,0,0,0,0,0,600
6913,M/s ABR Petro Products Ltd ,HPC,Telangana & Andhra Pradesh SO,WestRegion,0,0,0,0,0,0,600
